卫星,image,中文名称,英文名称,国籍,研发机构,任务类型,轨道类型,轨道高度,轨道倾角,运载火箭,发射日期,发射基地,设计寿命,质量,国际卫星标识符,NORAD,备注,文件名
遥感三十六号02组B星,"Yaogan 36-01A/B, 36-02A/B, 36-03A/B, 36-04A/B",,Yaogan 36-02B,China,DFH Satellite (Beijing),Earth observation or SIGINT ?,,,,CZ-2D (2),2022年10月14日,Xi LC-3,,,2022-133B,,中国遥感卫星系列,
遥感三十六号03组A星,"Yaogan 36-01A/B, 36-02A/B, 36-03A/B, 36-04A/B",,Yaogan 36-03A,China,DFH Satellite (Beijing),Earth observation or SIGINT ?,,,,CZ-2D (2),2022年11月27日,Xi LC-3,,,2022-160,,中国遥感卫星系列,
遥感三十六号03组B星,"Yaogan 36-01A/B, 36-02A/B, 36-03A/B, 36-04A/B",,Yaogan 36-03B,China,DFH Satellite (Beijing),Earth observation or SIGINT ?,,,,CZ-2D (2),2022年11月27日,Xi LC-3,,,2022-160,,中国遥感卫星系列,
遥感三十六号04组A星,"Yaogan 36-01A/B, 36-02A/B, 36-03A/B, 36-04A/B",,Yaogan 36-04A,China,DFH Satellite (Beijing),Earth observation or SIGINT ?,,,,CZ-2D (2),2022年12月14日,Xi LC-3,,,2022-171,,中国遥感卫星系列,
遥感三十六号04组B星,"Yaogan 36-01A/B, 36-02A/B, 36-03A/B, 36-04A/B",,Yaogan 36-04B,China,DFH Satellite (Beijing),Earth observation or SIGINT ?,,,,CZ-2D (2),2022年12月14日,Xi LC-3,,,2022-171,,中国遥感卫星系列,
遥感三十五号03组C星,"Yaogan 35-01C, 35-03C, 35-03C, 35-04C, 35-05C",,Yaogan 35-03C,China,SAST,Earth observation or SIGINT ?,,,,CZ-2D (2),2022年7月29日,Xi LC-3,,,2022-088E,,中国遥感卫星系列,
遥感三十五号04组C星,"Yaogan 35-01C, 35-03C, 35-03C, 35-04C, 35-05C",,Yaogan 35-04C,China,SAST,Earth observation or SIGINT ?,,,,CZ-2D (2),2022年8月19日,Xi LC-3,,,2022-100E,,中国遥感卫星系列,
遥感三十五号05组C星,"Yaogan 35-01C, 35-03C, 35-03C, 35-04C, 35-05C",,Yaogan 35-05C,China,SAST,Earth observation or SIGINT ?,,,,CZ-2D (2),2022年9月6日,Xi LC-3,,,2022-109D,,中国遥感卫星系列,
试验十六号A星,"SY 16A, 16B",,SY 16A,China,SAST 509 institute,Technology,,,,CZ-6,2022年9月26日,TY LC-16,,,2022-121,,试验卫星系列,
试验十六号B星,"SY 16A, 16B",,SY 16B,China,SAST 509 institute,Technology,,,,CZ-6,2022年9月26日,TY LC-16,,,2022-121,,试验卫星系列,
创新十六号A星,"CX 16A, 16B",,CX 16A,China,CAS,Technology ?,,,,Kuaizhou-1A,2022年8月23日,Xi,,,2022-102A,,,
创新十六号B星,"CX 16A, 16B",,CX 16B,China,CAS,Technology ?,,,,Kuaizhou-1A,2022年8月23日,Xi,,,2022-102B,,,
斯科尔科技B1,"Skoltech B1, B2",,Skoltech B1,Russia,Skolkovo Institute of Science and Technology,Technology,,,,Soyuz-2-1b Fregat,2022年8月9日,Ba LC-31/6,,,2022-096,,,
斯科尔科技B2,"Skoltech B1, B2",,Skoltech B2,Russia,Skolkovo Institute of Science and Technology,Technology,,,,Soyuz-2-1b Fregat,2022年8月9日,Ba LC-31/6,,,2022-096,,,
遥感三十六号01组C星,"Yaogan 36-01C, 36-02C, 36-03C, 36-04C",,Yaogan 36-01C,China,SAST,Earth observation or SIGINT ?,,,,CZ-2D (2),2022年9月26日,Xi LC-3,,,2022-120E,,,
遥感三十六号02组C星,"Yaogan 36-01C, 36-02C, 36-03C, 36-04C",,Yaogan 36-02C,China,SAST,Earth observation or SIGINT ?,,,,CZ-2D (2),2022年10月14日,Xi LC-3,,,2022-133D,,,
遥感三十六号03组C星,"Yaogan 36-01C, 36-02C, 36-03C, 36-04C",,Yaogan 36-03C,China,SAST,Earth observation or SIGINT ?,,,,CZ-2D (2),2022年11月27日,Xi LC-3,,,2022-160,,,
遥感三十六号04组C星,"Yaogan 36-01C, 36-02C, 36-03C, 36-04C",,Yaogan 36-04C,China,SAST,Earth observation or SIGINT ?,,,,CZ-2D (2),2022年12月14日,Xi LC-3,,,2022-171,,,
马格纳罗A,"MAGNARO A, B",,MAGNARO A,Japan,Nagoya University,Technology,,,,Epsilon (2) CLPS,2022年10月12日,Ka LP-M,,,2022-F05,,,
马格纳罗B,"MAGNARO A, B",,MAGNARO B,Japan,Nagoya University,Technology,,,,Epsilon (2) CLPS,2022年10月12日,Ka LP-M,,,2022-F05,,,
非洲珍珠卫星1号,"Bird B, BTN, G, J, JPN, LKA, M, MYS, N, NPL, PHL(BRAC Onnesha, Bhutan 1, GhanaSat 1, Toki, Uguisu, Raavana 1, Mazaalai, UiTMSAT 1, EduSat 1, NepaliSat 1, Maya 1)",,PearlAfricaSat 1,"Japan, Bangladesh, Ghana, Mongolia, Nigeria, Philippines, Bhutan, Malaysia, Nepal, Sri Lanka, Paraguay, Uganda, Zimbabwe",Kyushu Institute of Technology (Kyutech),"Technology, education",,"400 km × 400 km, 51.6° (typical)",,Antares-230+,2022年11月7日,WI LC-0A,~ 6 months,1 kg,,,鸟卫星系列,
津巴布韦卫星1号,"Bird B, BTN, G, J, JPN, LKA, M, MYS, N, NPL, PHL(BRAC Onnesha, Bhutan 1, GhanaSat 1, Toki, Uguisu, Raavana 1, Mazaalai, UiTMSAT 1, EduSat 1, NepaliSat 1, Maya 1)",,ZimSat 1,"Japan, Bangladesh, Ghana, Mongolia, Nigeria, Philippines, Bhutan, Malaysia, Nepal, Sri Lanka, Paraguay, Uganda, Zimbabwe",Kyushu Institute of Technology (Kyutech),"Technology, education",,"400 km × 400 km, 51.6° (typical)",,Antares-230+,2022年11月7日,WI LC-0A,~ 6 months,1 kg,,,鸟卫星系列,
银河33,"Galaxy 33, 34",,Galaxy 33 (Galaxy 15R),USA,Northrop Grumman Innovation Systems (NGIS) (formerly Orbital ATK),Communication,,GEO,,Falcon-9 v1.2 (Block 5),2022年10月8日,CC SLC-40,15 years,3654 kg (#33); 3695 kg (#34),2022-128A,,银河卫星系列,
银河34,"Galaxy 33, 34",,Galaxy 34 (Galaxy 12R),USA,Northrop Grumman Innovation Systems (NGIS) (formerly Orbital ATK),Communication,,GEO,,Falcon-9 v1.2 (Block 5),2022年10月8日,CC SLC-40,15 years,3654 kg (#33); 3695 kg (#34),2022-128B,,银河卫星系列,
泰景一号01星,"Taijing-1 01, 02",,Taijing-1 01 (Ping'An 3),China,Minospace (Beijing Weina Star Technology Co.),Earth observation,,,,Ceres-1 (3) (Gushenxing-1 (3)),2022年8月9日,Jq LC-43/95A,,,2022-095,,,
泰景一号02星,"Taijing-1 01, 02",,Taijing-1 02,China,Minospace (Beijing Weina Star Technology Co.),Earth observation,,,,Ceres-1 (3) (Gushenxing-1 (3)),2022年8月9日,Jq LC-43/95A,,,2022-095,,,
起源G号,"GENESIS L, -N",,GENESIS G (Astroland 1),Spain,AMSAT EA,Technology,,,,Firefly-Alpha,2022年10月1日,Va SLC-2W,,0.2 kg,2022-122B ?,,,
起源N号,"GENESIS L, -N",,GENESIS J (Astroland 2),Spain,AMSAT EA,Technology,,,,Firefly-Alpha,2022年10月1日,Va SLC-2W,,0.2 kg,2022-122D ?,,,
丘比克3号,"Qubik 1, 2, 3, 4, 5, 6",,Qubik 3,Greece,Libre Space Foundation,Technology,,,,Firefly-Alpha,2022年10月1日,Va SLC-2W,,0.2 kg,2022-122#,,,
丘比克4号,"Qubik 1, 2, 3, 4, 5, 6",,Qubik 4,Greece,Libre Space Foundation,Technology,,,,Firefly-Alpha,2022年10月1日,Va SLC-2W,,0.2 kg,2022-122#,,,
天文投射0301,"Astrocast 0101, ..., TBD",,Astrocast 0301,Switzerland,,Communication M2M/IoT,,,,PSLV-XL,2022年11月26日,Sr FLP,,5 kg,2022-158K,,天文投射系列,
天文投射0302,"Astrocast 0101, ..., TBD",,Astrocast 0302,Switzerland,,Communication M2M/IoT,,,,PSLV-XL,2022年11月26日,Sr FLP,,5 kg,2022-158J,,天文投射系列,
天文投射0303,"Astrocast 0101, ..., TBD",,Astrocast 0303,Switzerland,,Communication M2M/IoT,,,,PSLV-XL,2022年11月26日,Sr FLP,,5 kg,2022-158H,,天文投射系列,
