数据集（可能重复）,中文名,外文名,性别,国籍,出生日期（请小心bug）,逝世日期,逝世日期（请小心bug）,职业,毕业院校,地位或主要成就,重定向,载人航天任务时长,舱外任务时长,编辑状态
"*{{Flagicon|USA}} [[Rhea Seddon]], M.D.<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-51-D]], [[STS-40]], [[STS-58]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Elliot See]] (1927–1966) — No flights,,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Ronald Sega]] — [[STS-60]], [[STS-76]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|GBR}} {{Flagicon|USA}} [[Piers Sellers]] (1955–2016) — [[STS-112]], [[STS-121]], [[STS-132]]",,,,GBR}},,,,,,,,,,
"*{{Flagicon|USSR}} {{Flagicon|RUS}} [[Aleksandr Serebrov]] (1944–2013) — [[Soyuz T-7]]/[[Soyuz T-5|5]], [[Soyuz T-8]], [[Soyuz TM-8]], [[Soyuz TM-17]]",,,,USSR},,,,,,,,,,
*{{Flagicon|RUS}} [[Yelena Serova]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[Soyuz TMA-14M]],,,,RUS}},,,,,,,,,,
"*{{Flagicon|USSR}} [[Vitali Sevastyanov]] (1935–2010) — [[Soyuz 9]], [[Soyuz 18]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Doug Shane]] — [[Commercial astronaut]], [[List of astronauts by selection#2003|SpaceShipOne 2003]]",,,,USA}},,,,,,,,,,
*{{Flagicon|RUS}} [[Yuri Shargin]] — [[Soyuz TMA-5]]/[[Soyuz TMA-4|4]],,,,RUS}},,,,,,,,,,
"*{{Flagicon|RUS}} <!-- born in Kirgizstan, of Uzbek nationality, but Russian citizen --> [[Salizhan Sharipov]] — [[STS-89]], [[Soyuz TMA-5]]",,,,RUS}},,,,,,,,,,
*{{Flagicon|IND}} [[Rakesh Sharma]] — [[Soyuz T-11]]/[[Soyuz T-10|10]],,,,IND}},,,,,,,,,,
"*{{Flagicon|UK}} [[Helen Sharman]] —  [[Soyuz TM-12]], [[Soyuz TM-11]]",,,,UK}} ,,,,,,,,,,
"*{{Flagicon|USSR}} [[Vladimir Shatalov]] — [[Soyuz 4]], [[Soyuz 8]], [[Soyuz 10]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Brewster H. Shaw|Brewster Shaw]] — [[STS-9]], [[STS-61-B]], [[STS-28]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Alan Shepard]] △▲ (1923–1998) — [[Mercury-Redstone 3]], [[Apollo 14]]. First [[United States|American]] in space.",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[William Shepherd]] — [[STS-27]], [[STS-41]], [[STS-52]], [[Soyuz TM-31]]/[[STS-102]]",,,,USA}},,,,,,,,,,
**(Nancy Sherlock – see [[#C|Nancy Currie]]),,,,rlock,,,,,,,,,,
"*{{Flagicon|RUS}} [[Anton Shkaplerov]] — [[Soyuz TMA-22]], [[Soyuz TMA-15M]],  [[Soyuz MS-19]]",,,,RUS}},,,,,,,,,,
*{{Flagicon|USSR}} [[Georgi Shonin]] (1935–1997) — [[Soyuz 6]],,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Loren Shriver]] — [[STS-51-C]], [[STS-31]], [[STS-46]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|MYS}} [[Sheikh Muszaphar Shukor]], M.D. — [[Soyuz TMA-11]]/[[Soyuz TMA-10|10]]",,,,MYS}},,,,,,,,,,
"*{{Flagicon|USA}} [[Peter Siebold]] — [[Commercial astronaut]], [[List of astronauts by year of selection#2003|SpaceShipOne 2003]]",,,,USA}},,,,,,,,,,
*{{Flagicon|RUS}} [[Oleg Skripochka]] — [[Soyuz TMA-01M]],,,,RUS}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Aleksandr Skvortsov (cosmonaut)|Aleksandr Skvortsov]] — [[Soyuz TMA-18]], [[Soyuz TMA-12M]]",,,,RUS}},,,,,,,,,,
"*{{Flagicon|USA}} [[Deke Slayton|Donald ""Deke"" Slayton]] (1924–1993) — [[Apollo-Soyuz Test Project]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Michael J. Smith (astronaut)|Michael J. Smith]] (1945–1986) † — Died in the [[Space Shuttle Challenger disaster|''Challenger'' liftoff disintegration]] ([[STS-51L]]),,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Steven Smith (astronaut)|Steven Smith]] — [[STS-68]], [[STS-82]], [[STS-103]], [[STS-110]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USSR}} {{Flagicon|RUS}} [[Anatoly Solovyev]] — [[Soyuz TM-5]]/[[Soyuz TM-4|4]], [[Soyuz TM-9]], [[Soyuz TM-15]], [[STS-71]]/[[Soyuz TM-21]], [[Soyuz TM-26]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|USSR}} [[Vladimir Solovyov (cosmonaut)|Vladimir Solovyov]] — [[Soyuz T-10]]/[[Soyuz T-11|11]], [[Soyuz T-15]]",,,,USSR},,,,,,,,,,
*{{Flagicon|USA}} [[Sherwood C. Spring|Sherwood Spring]] — [[STS-61-B]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Robert C. Springer|Robert Springer]] — [[STS-29]], [[STS-38]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Thomas Patten Stafford]] △ — [[Gemini 6A]], [[Gemini 9A]], [[Apollo 10]], [[Apollo-Soyuz Test Project]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Heidemarie M. Stefanyshyn-Piper|Heidemarie Stefanyshyn-Piper]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-115]], [[STS-126]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Robert L. Stewart|Robert Stewart]] — [[STS-41-B]], [[STS-51-J]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Susan Still Kilrain]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-83]], [[STS-94]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Nicole P. Stott|Nicole Marie Passonno Stott]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-128]], [[STS-133]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USSR}} {{Flagicon|RUS}} [[Gennady Strekalov]] (1940–2004) — [[Soyuz T-3]], [[Soyuz T-8]], [[Soyuz T-11]]/[[Soyuz T-10|10]], [[Soyuz TM-10]], [[Soyuz TM-21]]/[[STS-71]]",,,,USSR},,,,,,,,,,
*{{Flagicon|USA}} [[Mark P. Stucky|Mark Stucky]] — [[VSS Unity VP-03]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Frederick W. Sturckow|Frederick Sturckow]] — [[STS-88]], [[STS-105]], [[STS-117]], [[STS-128]], [[VSS Unity VP-03|''VSSUnity'' VP-03]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Kathryn Dwyer Sullivan|Kathryn Sullivan]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup>, — [[STS-41-G]], [[STS-31]], [[STS-45]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Maksim Surayev]] — [[Soyuz TMA-16]], [[Soyuz TMA-13M]]",,,,RUS}},,,,,,,,,,
"*{{Flagicon|USA}} [[Steven Swanson]] — [[STS-117]], [[STS-119]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Jack Swigert|John ""Jack"" Swigert]] (1931–1982) △ — [[Apollo 13]]",,,,USA}},,,,,,,,,,
*{{Flagicon|CUB}} [[Arnaldo Tamayo Méndez]] — [[Soyuz 38]],,,,,,,,,,,,,,
"*{{Flagicon|USA}} [[Daniel M. Tani|Daniel Tani]] — [[STS-108]], [[STS-120]]/[[STS-122|122]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Joseph R. Tanner|Joseph Tanner]] — [[STS-66]], [[STS-82]], [[STS-97]], [[STS-115]]",,,,USA}},,,,,,,,,,
*{{Flagicon|RUS}} [[Evgeny Tarelkin]] — [[Soyuz TMA-06M]],,,,RUS}},,,,,,,,,,
*{{Flagicon|USA}} [[James M. Taylor]] (1930–1970) — No flights. Assigned to [[Manned Orbiting Laboratory|MOL]] project.,,,,USA}},,,,,,,,,,
*{{Flagicon|USSR}} [[Valentina Tereshkova]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[Vostok 6]]. First woman in space.,,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Norman Thagard]], M.D. — [[STS-7]], [[STS-51-B]], [[STS-30]], [[STS-42]], [[Soyuz TM-21]]/[[STS-71]]",,,,USA}},,,,,,,,,,
*{{Flagicon|GER}} [[Gerhard Thiele]] — [[STS-99]],,,,GER}},,,,,,,,,,
"*{{Flagicon|CAN}} [[Robert Thirsk]], M.D. — [[STS-78]], [[Soyuz TMA-15]]",,,,CAN}},,,,,,,,,,
"*{{Flagicon|AUS}} {{Flagicon|USA}} [[Andy Thomas|Andrew Thomas]] — [[STS-77]], [[STS-89]]/[[STS-91|91]], [[STS-102]], [[STS-114]]",,,,AUS}},,,,,,,,,,
"*{{Flagicon|USA}} [[Donald A. Thomas|Donald Thomas]] — [[STS-65]], [[STS-70]], [[STS-83]], [[STS-94]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Stephen Thorne (astronaut)|Stephen Thorne]] (1953–1986) — No flights. Died in a stunt plane accident before completing training.,,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Kathryn Thornton]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-33]], [[STS-49]], [[STS-61]], [[STS-73]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[William E. Thornton]], M.D. — [[STS-8]], [[STS-51-B]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Pierre J. Thuot|Pierre Thuot]] — [[STS-36]], [[STS-49]], [[STS-62]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USSR}} [[Gherman Titov]] (1935–2000) — [[Vostok 2]],,,,USSR},,,,,,,,,,
"*{{Flagicon|USSR}} {{Flagicon|RUS}} [[Vladimir Titov]] — [[Soyuz T-8]], [[Soyuz TM-4]]/[[Soyuz TM-6|6]], [[STS-63]], [[STS-86]]",,,,USSR},,,,,,,,,,
*{{Flagicon|CHN}} [[Tang Hongbo]] — [[Shenzhou 12]],,,,CHN}},,,,,,,,,,
"*{{Flagicon|FRA}} [[Michel Tognini]], EAC — [[Soyuz TM-15]]/[[Soyuz TM-14|14]], [[STS-93]]",,,,FRA}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Valery Tokarev]] — [[STS-96]], [[Soyuz TMA-7]]",,,,RUS}},,,,,,,,,,
*{{Flagicon|RUS}} [[Sergei Treshchov]] — [[STS-111]]/[[STS-113|113]],,,,RUS}},,,,,,,,,,
*{{Flagicon|USA}} [[Eugene Trinh]] — [[STS-50]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Richard Truly]] — [[STS-2]], [[STS-8]]",,,,USA}},,,,,,,,,,
*{{Flagicon|ISL}} {{Flagicon|CAN}} [[Bjarni Tryggvason]] — [[STS-85]],,,,ISL}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Vasili Tsibliyev]] — [[Soyuz TM-17]], [[Soyuz TM-25]]",,,,RUS}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Mikhail Tyurin]] — [[STS-105]]/[[STS-108|108]], [[Soyuz TMA-9]], [[Soyuz TMA-11M]]",,,,RUS}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Yuri Usachov]] — [[Soyuz TM-18]], [[Soyuz TM-23]], [[STS-101]], [[STS-102]]/[[STS-105]]",,,,,,,,,,,,,,
"*{{Flagicon|USA}} [[James van Hoften|James ""Ox"" van Hoften]] — [[STS-41-C]], [[STS-51-I]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Mark T. Vande Hei|Mark Vande Hei]] — [[Soyuz MS-06]], [[Soyuz MS-18]],  [[Soyuz MS-19]]",,,,USA}},,,,,,,,,,
*{{Flagicon|RUS}} [[Ivan Vagner]] — [[Soyuz MS-16]],,,,RUS}},,,,,,,,,,
*{{Flagicon|USSR}} [[Vladimir Vasyutin]] (1952–2002) — [[Soyuz T-14]],,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[Charles Veach]] (1944–1995) — [[STS-39]], [[STS-52]]",,,,USA}},,,,,,,,,,
*{{Flagicon|AUT}} [[Franz Viehböck]] — [[Soyuz TM-13]]/[[Soyuz TM-12|12]],,,,AUT}},,,,,,,,,,
"*{{Flagicon|USSR}} {{Flagicon|RUS}} [[Alexander Viktorenko]] — [[Soyuz TM-3]]/[[Soyuz TM-2|2]], [[Soyuz TM-8]], [[Soyuz TM-14]], [[Soyuz TM-20]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|RUS}} [[Pavel Vinogradov]] — [[Soyuz TM-26]], [[Soyuz TMA-8]]",,,,RUS}},,,,,,,,,,
"*{{Flagicon|USA}} [[Terry Virts]] — [[STS-130]], [[Soyuz TMA-15M]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|ITA}} [[Roberto Vittori]] — [[Soyuz 34]]/[[Soyuz 33|33]], [[Soyuz TMA-6]]/[[Soyuz TMA-5|5]], [[STS-134]]",,,,ITA}},,,,,,,,,,
*{{Flagicon|USSR}} [[Igor Volk]] — [[Soyuz T-12]],,,,USSR},,,,,,,,,,
"*{{Flagicon|USSR}} {{Flagicon|RUS}} [[Alexander Alexandrovich Volkov (cosmonaut)|Alexander Volkov]] — [[Soyuz T-14]], [[Soyuz TM-7]], [[Soyuz TM-13]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|RUS}} [[Sergey Volkov (cosmonaut)|Sergey Volkov]] — [[Soyuz TMA-12]], [[Soyuz TMA-02M]], [[Soyuz TMA-18M]]",,,,RUS}},,,,,,,,,,
*{{Flagicon|USSR}} [[Vladislav Volkov]] (1935–1971) † — [[Soyuz 7]]. Died in the [[Soyuz 11]] reentry depressurisation.,,,,USSR},,,,,,,,,,
"*{{Flagicon|USSR}} [[Boris Volynov]] — [[Soyuz 5]], [[Soyuz 21]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|USA}} [[James S. Voss|James Voss]] — [[STS-44]], [[STS-53]], [[STS-69]], [[STS-101]], [[STS-102]]/[[STS-105|105]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Janice Voss]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> (1956–2012) — [[STS-57]], [[STS-63]], [[STS-83]], [[STS-94]], [[STS-99]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|JPN}} [[Koichi Wakata]] — [[STS-72]], [[STS-92]], [[STS-119]]/[[STS-127|127]], [[Soyuz TMA-11M]], [[SpaceX Crew-5]]",,,,JPN,,,,,,,,,,
"*{{Flagicon|USA}} [[Rex J. Walheim|Rex Walheim]] — [[STS-110]], [[STS-122]], [[STS-135]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Charles D. Walker]] — [[STS-41-D]], [[STS-51-D]], [[STS-61-B]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[David M. Walker (astronaut)|David M. Walker]] (1944–2001) — [[STS-51-A]], [[STS-30]], [[STS-53]], [[STS-69]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Joseph A. Walker]] (1921–1966) — [[North American X-15|X-15]] flights 77, [[X-15 Flight 90|90]], [[X-15 Flight 91|91]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Shannon Walker]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[Soyuz TMA-19]], [[SpaceX Crew-1]]",,,,USA}},,,,,,,,,,
*{{Flagicon|GER}} [[Ulrich Walter]] — [[STS-55]],,,,GER}},,,,,,,,,,
"*{{Flagicon|USA}} [[Carl Walz]] — [[STS-51]], [[STS-65]], [[STS-79]], [[STS-108]]/[[STS-111|111]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Taylor Wang]] — [[STS-51-B]],,,,USA}},,,,,,,,,,
"*{{Flagicon|CHN}} [[Wang Yaping]] — [[Shenzhou 10]], [[Shenzhou 13]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup>",,,,CHN}},,,,,,,,,,
*{{Flagicon|USA}} [[Jessica Watkins]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[SpaceX Crew-4]] (2022),,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Mary E. Weber|Mary Weber]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-70]], [[STS-101]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Paul J. Weitz|Paul Weitz]] — [[Skylab 2]], [[STS-6]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Jim Wetherbee|James Wetherbee]] — [[STS-32]], [[STS-52]], [[STS-63]], [[STS-86]], [[STS-102]], [[STS-113]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Douglas H. Wheelock|Douglas Wheelock]] — [[STS-120]], [[Soyuz TMA-19]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Ed White (astronaut)|Ed White]] (1930–1967) † — [[Gemini 4]]. Died in the [[Apollo 1]] fire accident.,,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Robert Michael White]] — [[North American X-15|X-15]] flight 62,,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Peggy Whitson]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-111]]/[[STS-113|113]], [[Soyuz TMA-11]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Terrence W. Wilcutt|Terrence Wilcutt]] — [[STS-68]], [[STS-79]], [[STS-89]], [[STS-106]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Clifton Williams|Clifton ""C.C."" Williams]] (1932–1967) † — No flights. Died in a plane crash during training.",,,,USA}},,,,,,,,,,
"*{{Flagicon|CAN}} [[Dafydd Williams]], M.D. — [[STS-90]], [[STS-118]]",,,,CAN}},,,,,,,,,,
"*{{Flagicon|USA}} [[Donald E. Williams|Donald Williams]] (1942–2016) — [[STS-51-D]], [[STS-34]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Jeffrey Williams (astronaut)|Jeffrey Williams]] — [[STS-101]], [[Soyuz TMA-8]], [[Soyuz TMA-16]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Sunita Williams|Sunita ""Suni"" Williams]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-116]]/[[STS-117|117]], [[Soyuz TMA-05M]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Barry E. Wilmore|Barry Wilmore]] — [[STS-129]], [[Soyuz TMA-14M]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Stephanie Wilson]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-121]], [[STS-120]], [[STS-131]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Gregory R. Wiseman]] — [[Soyuz TMA-13M]],,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[Peter J.K. Wisoff|Peter Wisoff]] — [[STS-57]], [[STS-68]], [[STS-81]], [[STS-92]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|USA}} [[David Wolf (astronaut)|David Wolf]], M.D. — [[STS-58]], [[STS-86]]/[[STS-89|89]], [[STS-112]], [[STS-127]]",,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Neil Woodward]] — No flights,,,,USA}},,,,,,,,,,
*{{Flagicon|USA}} [[Alfred Worden]] (1932–2020) △ — [[Apollo 15]],,,,USA}},,,,,,,,,,
*{{Flagicon|JPN}} [[Naoko Yamazaki]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup> — [[STS-131]],,,,,,,,,,,,,,
*{{Flagicon|CHN}} [[Ye Guangfu]] — [[Shenzhou 13]],,,,CHN}},,,,,,,,,,
"*{{Flagicon|USSR}} [[Boris Yegorov]], M.D. (1937–1994) — [[Voskhod 1]]",,,,USSR},,,,,,,,,,
"*{{Flagicon|USSR}} [[Aleksei Yeliseyev]] — [[Soyuz 5]]/[[Soyuz 4|4]], [[Soyuz 8]], [[Soyuz 10]]",,,,USSR},,,,,,,,,,
*{{Flagicon|KOR}} [[Yi So-yeon]]<sup>[[Image:Pink Venus symbol.svg|8px|♀]]</sup>  —  [[Soyuz TMA-12]]/[[Soyuz TMA-11|11]],,,,KOR}},,,,,,,,,,
"*{{Flagicon|USA}} [[John Watts Young|John Young]] (1930–2018) △▲ — [[Gemini 3]], [[Gemini 10]], [[Apollo 10]], [[Apollo 16]], [[STS-1]], [[STS-9]]",,,,USA}},,,,,,,,,,
*{{Flagicon|JPN}} [[Kimiya Yui]] — [[Soyuz TMA-17M]],,,,JPN}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Fyodor Yurchikhin]] — [[STS-112]], [[Soyuz TMA-10]], [[Soyuz TMA-19]], [[Soyuz TMA-09M]]",,,,RUS}},,,,,,,,,,
"*{{Flagicon|RUS}} [[Sergei Zalyotin]] — [[Soyuz TM-30]], [[Soyuz TMA-1]]/[[Soyuz TM-34|TM-34]]",,,,,,,,,,,,,,
"*{{Flagicon|USA}} [[George D. Zamka]] — [[STS-120]], [[STS-130]]",,,,USA}},,,,,,,,,,
"*{{Flagicon|CHN}} [[Zhai Zhigang]] — [[Shenzhou 7]], [[Shenzhou 13]]",,,,CHN}},,,,,,,,,,
*{{Flagicon|CHN}} [[Zhang Xiaoguang]] — [[Shenzhou 10]],,,,CHN}},,,,,,,,,,
*{{Flagicon|USSR}} [[Vitaliy Zholobov]] — [[Soyuz 21]],,,,USSR},,,,,,,,,,
*{{Flagicon|USSR}} [[Vyacheslav Zudov]] — [[Soyuz 23]],,,,USSR},,,,,,,,,,
钱学森,钱学森,,,中国,,,,,,,,,,
赵九章,赵九章,,,中国,,,,,,,,,,
杨嘉墀,杨嘉墀,,,中国,,,,,,,,,,
杨南生,杨南生,,,中国,,,,,,,,,,
屠善澄,屠善澄,,,中国,,,,,,,,,,
屠守锷,屠守锷,,,中国,,,,,,,,,,
王永志,王永志,,,中国,,,,,,,,,,
王希季,王希季,,,中国,,,,,,,,,,
戚发轫,戚发轫,,,中国,,,,,,,,,,
孙来燕,孙来燕,,,中国,,,,,,,,,,
孙家栋,孙家栋,,,中国,,,,,,,,,,
陈芳允,陈芳允,,,中国,,,,,,,,,,
竺苗龙,竺苗龙,,,中国,,,,,,,,,,
欧阳自远,欧阳自远,,,中国,,,,,,,,,,
杜庆华,杜庆华,,,中国,,,,,,,,,,
范瑞祥,范瑞祥,,,中国,,,,,,,,,,
胡海昌,胡海昌,,,中国,,,,,,,,,,
胡世祥,胡世祥,,,中国,,,,,,,,,,
黄春平,黄春平,,,中国,,,,,,,,,,
黄纬禄,黄纬禄,,,中国,,,,,,,,,,
龙乐豪,龙乐豪,,,中国,,,,,,,,,,
栾恩杰,栾恩杰,,,中国,,,,,,,,,,
卫一清,卫一清,,,中国,,,,,,,,,,
叶培建,叶培建,,,中国,,,,,,,,,,
庄逢甘,庄逢甘,,,中国,,,,,,,,,,
任新民,任新民,,,中国,,,,,,,,,,
江绵恒,江绵恒,,,中国,,,,,,,,,,
张贵田,张贵田,,,中国,,,,,,,,,,
张其彬,张其彬,,,中国,,,,,,,,,,
张庆伟,张庆伟,,,中国,,,,,,,,,,
梁思礼,梁思礼,,,中国,,,,,,,,,,
梁守槃,梁守槃,,,中国,,,,,,,,,,
刘振兴,刘振兴,,,中国,,,,,,,,,,
刘永坦,刘永坦,,,中国,,,,,,,,,,
谢光选,谢光选,,,中国,,,,,,,,,,
蔡金涛,蔡金涛,,,中国,,,,,,,,,,
陆元九,陆元九,,,中国,,,,,,,,,,
闵桂荣,闵桂荣,,,中国,,,,,,,,,,
李济生,李济生,,,中国,,,,,,,,,,
姜杰,姜杰,,,中国,,,,,,,,,,
潘先觉,潘先觉,,,中国,,,,,,,,,,
